Chemical Information										Mixture Information				exact mass		theoretical m/z			measured m/z			Ion mobilty			Chromatography				NAPS RT Pre																					NAPS RT Post																			
ChEBI name	ChEBI	KEGG	HMDB	LipidMaps	SMILES	InChI	InChIKey	formula		Chemical Exposome	Mixture	Mix Name		M		[M+H]+	[M+Na]+		[M+H]+	[M+Na]+		CCS [M+H]+	CCS [M+Na]+		RT (apex)	RT (minim)	RT (maxim)		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
propynoic acid	CHEBI:33199	C00804	HMDB0006804		OC(=O)C#C	InChI=1S/C3H2O2/c1-2-3(4)5/h1H,(H,4,5)	UORVCLMRJXCDCP-UHFFFAOYSA-N	C3H2O2		Human Endosome	2.9	Human Endosome_2.9		70.0054793		71.0127553	92.9946993		Not detected	Not detected									0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
3-methylbutanal	CHEBI:16638	C07329	HMDB0006478		CC(C)CC=O	InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3	YGHRJJRRZDOVPD-UHFFFAOYSA-N	C5H10O		Human Endosome	2.9	Human Endosome_2.9		86.07316494		87.08044094	109.0623849		Not detected	Not detected									0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
(S)-lactic acid	CHEBI:422	C00186	HMDB0000190		C[C@H](O)C(O)=O	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m0/s1	JVTAAEKCZFNVCJ-REOHCLBHSA-N	C3H6O3		Human Endosome	2.9	Human Endosome_2.9		90.03169405		91.03897005	113.0209141		Not detected	Not detected					1.247	1.218	1.287		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
D-proline	CHEBI:16313	C00763	HMDB0003411		OC(=O)[C@H]1CCCN1	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m1/s1	ONIBWKKTOPOVIA-SCSAIBSYSA-N	C5H9NO2		Human Endosome	2.9	Human Endosome_2.9		115.0633285		116.0706045	138.0525485		116.0708	138.0525					0.44	0.4	0.629		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
fumaric acid	CHEBI:18012	C00122	HMDB0000134		OC(=O)\C=C\C(O)=O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+	VZCYOOQTPOCHFL-OWOJBTEDSA-N	C4H4O4		Human Endosome	2.9	Human Endosome_2.9		116.0109586		117.0182346	139.0001786		117.0181	139.0005					0.629	0.589	0.687		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
nicotinamide	CHEBI:17154	C00153	HMDB0001406		NC(=O)C1=CC=CN=C1	InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)	DFPAKSUCGFBDDF-UHFFFAOYSA-N	C6H6N2O		Human Endosome	2.9	Human Endosome_2.9		122.0480128		123.0552888	145.0372328		123.0558						0.519	0.479	0.649		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
nicotinic acid	CHEBI:15940	C00253	HMDB0001488		OC(=O)C1=CN=CC=C1	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	PVNIIMVLHYAWGP-UHFFFAOYSA-N	C6H5NO2		Human Endosome	2.9	Human Endosome_2.9		123.0320284		124.0393044	146.0212484		124.0395	146.0226					0.509	0.469	0.659		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
taurine	CHEBI:15891	C00245	HMDB0000251	LMST05040001	NCCS(O)(=O)=O	InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)	XOAAWQZATWQOTB-UHFFFAOYSA-N	C2H7NO3S		Human Endosome	2.9	Human Endosome_2.9		125.0146641		126.0219401	148.0038841		126.0222	148.0041					0.42	0.38	0.589		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
thymine	CHEBI:17821	C00178	HMDB0000262		CC1=CNC(=O)NC1=O	InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)	RWQNBRDOKXIBIV-UHFFFAOYSA-N	C5H6N2O2		Human Endosome	2.9	Human Endosome_2.9		126.0429274		127.0502034	149.0321474		127.0503	149.0322					0.689	0.644	0.799		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
agmatine	CHEBI:17431	C00179	HMDB0001432		NCCCCNC(N)=N	InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)	QYPPJABKJHAVHS-UHFFFAOYSA-N	C5H14N4		Human Endosome	2.9	Human Endosome_2.9		130.1218464		131.1291224	153.1110664		131.1294	153.1112					0.39	0.349	0.619		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
D-leucine	CHEBI:28225	C01570	HMDB0013773		CC(C)C[C@@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m1/s1	ROHFNLRQFUQHCH-RXMQYKEDSA-N	C6H13NO2		Human Endosome	2.9	Human Endosome_2.9		131.0946287		132.1019047	154.0838487		132.1022	154.084					0.649	0.579	0.829		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
vanillin	CHEBI:18346	C00755	HMDB0012308		COC1=CC(C=O)=CC=C1O	InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3	MWOOGOJBHIARFG-UHFFFAOYSA-N	C8H8O3		Human Endosome	2.9	Human Endosome_2.9		152.0473441		153.0546201	175.0365641		153.0548	175.0375					3.472	3.412	3.601		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
dihydroorotic acid	CHEBI:30865	C00337	HMDB0000528	LMFA01010024	OC(=O)C1CC(=O)NC(=O)N1	InChI=1S/C5H6N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h2H,1H2,(H,9,10)(H2,6,7,8,11)	UFIVEPVSAGBUSI-UHFFFAOYSA-N	C5H6N2O4		Human Endosome	2.9	Human Endosome_2.9		158.0327567		159.0400327	181.0219767		159.0398	181.0207					0.469	0.42	0.579		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
homogentisic acid	CHEBI:44747	C00544	HMDB0000130		OC(=O)CC1=C(O)C=CC(O)=C1	InChI=1S/C8H8O4/c9-6-1-2-7(10)5(3-6)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)	IGMNYECMUMZDDF-UHFFFAOYSA-N	C8H8O4		Human Endosome	2.9	Human Endosome_2.9		168.0422587		169.0495347	191.0314787		169.0496	191.0317					1.078	1.018	1.218		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
(R)-noradrenaline	CHEBI:18357	C00547	HMDB0000216		NC[C@H](O)C1=CC(O)=C(O)C=C1	InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1	SFLSHLFXELFNJZ-QMMMGPOBSA-N	C8H11NO3		Human Endosome	2.9	Human Endosome_2.9		169.0738932		170.0811692	192.0631132		170.0813	192.0632					0.43	0.4	0.579		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
Gly-Pro	CHEBI:70744		HMDB0000721		NCC(=O)N1CCC[C@H]1C(O)=O	InChI=1S/C7H12N2O3/c8-4-6(10)9-3-1-2-5(9)7(11)12/h5H,1-4,8H2,(H,11,12)/t5-/m0/s1	KZNQNBZMBZJQJO-YFKPBYRVSA-N	C7H12N2O3		Human Endosome	2.9	Human Endosome_2.9		172.0847922		173.0920682	195.0740122		173.0923	195.0729					0.469	0.42	0.599		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
4-Methoxymandelic acid					COC1=CC=C(C=C1)C(C(=O)O)O	InChI=1S/C9H10O4/c1-13-7-4-2-6(3-5-7)8(10)9(11)12/h2-5,8,10H,1H3,(H,11,12)	ITECRQOOEQWFPE-UHFFFAOYSA-N	C9H10O4		Human Endosome	2.9	Human Endosome_2.9		182.0579088		183.0651848	205.0471288		183.0646	205.0468					2.893	2.845	2.932		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
N-acetyl-L-methionine	CHEBI:21557	C02712	HMDB0011745		CSCC[C@H](NC(C)=O)C(O)=O	InChI=1S/C7H13NO3S/c1-5(9)8-6(7(10)11)3-4-12-2/h6H,3-4H2,1-2H3,(H,8,9)(H,10,11)/t6-/m0/s1	XUYPXLNMDZIRQH-LURJTMIESA-N	C7H13NO3S		Human Endosome	2.9	Human Endosome_2.9		191.0616143		192.0688903	214.0508343		192.0693	214.0509					2.165	2.075	2.345		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
diethyl 2-methyl-3-oxosuccinate	CHEBI:16879	C04067	HMDB0032306		CCOC(=O)C(C)C(=O)C(=O)OCC	InChI=1S/C9H14O5/c1-4-13-8(11)6(3)7(10)9(12)14-5-2/h6H,4-5H2,1-3H3	OQOCQBJWOCRPQY-UHFFFAOYSA-N	C9H14O5		Human Endosome	2.9	Human Endosome_2.9		202.0841235		203.0913995	225.0733435		Not detected	Not detected									0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
ritalinic acid	CHEBI:83481		HMDB0042008	LMPK12060007	OC(=O)C(C1CCCCN1)C1=CC=CC=C1	InChI=1S/C13H17NO2/c15-13(16)12(10-6-2-1-3-7-10)11-8-4-5-9-14-11/h1-3,6-7,11-12,14H,4-5,8-9H2,(H,15,16)	INGSNVSERUZOAK-UHFFFAOYSA-N	C13H17NO2		Human Endosome	2.9	Human Endosome_2.9		219.1259288		220.1332048	242.1151488		220.1334	242.1157					3.282	3.232	3.472		0.446	0.476	0.566	0.865	2.082	3.409	4.127	4.695	5.194	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.446	8.795	9.154	9.473		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475
2-Methylheptanoic acid	CHEBI:179946		HMDB0031587	LMFA01020391	CCCCCC(C)C(O)=O	InChI=1S/C8H16O2/c1-3-4-5-6-7(2)8(9)10/h7H,3-6H2,1-2H3,(H,9,10)	NKBWMBRPILTCRD-UHFFFAOYSA-N	C8H16O2		Human Endosome	3.1	Human Endosome_3.1		144.1150298		145.1223058	167.1042498		145.1223						5.916	5.896	5.956		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
4-phenylbutyric acid	CHEBI:41500		HMDB0000543		OC(=O)CCCc1ccccc1	InChI=1S/C10H12O2/c11-10(12)8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,11,12)	OBKXEAXTFZPCHS-UHFFFAOYSA-N	C10H12O2		Human Endosome	3.1	Human Endosome_3.1		164.0837296		165.0910056	187.0729496		Not detected										0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
undecanedioic acid	CHEBI:73713		HMDB0000888	LMFA01170007	OC(=O)CCCCCCCCCC(O)=O	InChI=1S/C11H20O4/c12-10(13)8-6-4-2-1-3-5-7-9-11(14)15/h1-9H2,(H,12,13)(H,14,15)	LWBHHRRTOZQPDM-UHFFFAOYSA-N	C11H20O4		Human Endosome	3.1	Human Endosome_3.1		216.1361591		217.1434351	239.1253791		217.1433	239.125					5.078	5.04	5.177		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
octadecan-1-ol	CHEBI:32154	D01924	HMDB0002350	LMST01040123	CCCCCCCCCCCCCCCCCCO	InChI=1S/C18H38O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h19H,2-18H2,1H3	GLDOVTGHNKAZLK-UHFFFAOYSA-N	C18H38O		Human Endosome	3.1	Human Endosome_3.1		270.2922658		271.2995418	293.2814858		Not detected										0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
17beta-estradiol	CHEBI:16469	C00951	HMDB0000151	LMST02010001	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1	VOXZDWNPVJITMN-ZBRFXRBCSA-N	C18H24O2		Human Endosome	3.1	Human Endosome_3.1		272.17763		273.184906	295.16685		Not detected										0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
docosanoic acid	CHEBI:28941	C08281	HMDB0000944		CCCCCCCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)	UKMSUNONTOPOIO-UHFFFAOYSA-N	C22H44O2		Human Endosome	3.1	Human Endosome_3.1		340.3341306		341.3414066	363.3233506		Not detected	Not detected					8.409	8.399	8.468		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
lithocholic acid	CHEBI:16325	C03990	HMDB0000761		[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O	InChI=1S/C24H40O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-21,25H,4-14H2,1-3H3,(H,26,27)/t15-,16-,17-,18+,19-,20+,21+,23+,24-/m1/s1	SMEROWZSTRWXGI-HVATVPOCSA-N	C24H40O3		Human Endosome	3.1	Human Endosome_3.1		376.2977451		377.3050211	399.2869651		377.2982	399.2869					8.05	8.01	8.107		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
cholesterol	CHEBI:16113	C00187	HMDB0000067	LMST01010001	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C	InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1	HVYWMOMLDIMFJA-DPAQBDIFSA-N	C27H46O		Human Endosome	3.1	Human Endosome_3.1		386.3548661		387.3621421	409.3440861		Not detected										0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
(3S,5R)-fluvastatin	CHEBI:5136	C07014	HMDB0015227		CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(O)=O)=C(C2=CC=C(F)C=C2)C2=CC=CC=C12	InChI=1S/C24H26FNO4/c1-15(2)26-21-6-4-3-5-20(21)24(16-7-9-17(25)10-8-16)22(26)12-11-18(27)13-19(28)14-23(29)30/h3-12,15,18-19,27-28H,13-14H2,1-2H3,(H,29,30)/b12-11+/t18-,19-/m0/s1	FJLGEFLZQAZZCD-JUFISIKESA-N	C24H26FNO4		Human Endosome	3.1	Human Endosome_3.1		411.1845865		412.1918625	434.1738065		412.192	434.174					6.644	6.614	6.684		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
taurodeoxycholic acid	CHEBI:9410	C05463	HMDB0000896	LMST05040015	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O	InChI=1S/C26H45NO6S/c1-16(4-9-24(30)27-12-13-34(31,32)33)20-7-8-21-19-6-5-17-14-18(28)10-11-25(17,2)22(19)15-23(29)26(20,21)3/h16-23,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17-,18-,19+,20-,21+,22+,23+,25+,26-/m1/s1	AWDRATDZQPNJFN-VAYUFCLWSA-N	C26H45NO6S		Human Endosome	3.1	Human Endosome_3.1		499.2967592		500.3040352	522.2859792		500.3048	522.2848					5.746	5.696	5.926		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
taurochenodeoxycholic acid	CHEBI:16525	C05465	HMDB0000951		[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O	InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22-,24+,25+,26-/m1/s1	BHTRKEVKTKCXOH-BJLOMENOSA-N	C26H45NO6S		Human Endosome	3.1	Human Endosome_3.1		499.2967592		500.3040352	522.2859792		500.3048	522.2848					5.616	5.569	5.696		0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
1,2-dipalmitoyl-sn-glycerol	CHEBI:82929	C00165	HMDB0007098	LMGL02010009	[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	InChI=1S/C35H68O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(37)39-32-33(31-36)40-35(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h33,36H,3-32H2,1-2H3/t33-/m0/s1	JEJLGIQLPYYGEE-XIFFEERXSA-N	C35H68O5		Human Endosome	3.1	Human Endosome_3.1		568.5066753		569.5139513	591.4958953		Not detected										0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
Ethylene glycol distearate	CHEBI:177103		HMDB0032260	LMFA07010887	CCCCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCCC	InChI=1S/C38H74O4/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37(39)41-35-36-42-38(40)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-36H2,1-2H3	FPVVYTCTZKCSOJ-UHFFFAOYSA-N	C38H74O4		Human Endosome	3.1	Human Endosome_3.1		594.5587108		595.5659868	617.5479308		Not detected										0.448	0.478	0.557	0.867	2.093	3.410	4.128	4.707	5.195	5.654	6.083	6.492	6.891	7.290	7.679	8.058	8.437	8.796	9.145	9.475		0.453	0.473	0.563	0.872	2.089	3.415	4.133	4.702	5.201	5.649	6.078	6.487	6.896	7.285	7.674	8.063	8.442	8.801	9.151	9.480
